"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2010";2,90;"zł";"";
0000000;"POLSKA";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2011";2,90;"zł";"";
0000000;"POLSKA";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2012";2,92;"zł";"";
0000000;"POLSKA";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2013";2,91;"zł";"";
0000000;"POLSKA";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2014";2,87;"zł";"";
0000000;"POLSKA";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2015";2,80;"zł";"";
0000000;"POLSKA";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2016";2,75;"zł";"";
0000000;"POLSKA";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2017";2,80;"zł";"";
0000000;"POLSKA";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,82;"zł";"";
0000000;"POLSKA";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";2,95;"zł";"";
0000000;"POLSKA";"maj";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2006";2,60;"zł";"";
0000000;"POLSKA";"maj";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2007";2,59;"zł";"";
0000000;"POLSKA";"maj";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2008";2,65;"zł";"";
0000000;"POLSKA";"maj";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2009";2,93;"zł";"";
0000000;"POLSKA";"maj";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2010";2,91;"zł";"";
0000000;"POLSKA";"maj";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2011";2,90;"zł";"";
0000000;"POLSKA";"maj";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2012";2,92;"zł";"";
0000000;"POLSKA";"maj";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2013";2,91;"zł";"";
0000000;"POLSKA";"maj";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2014";2,87;"zł";"";
