"Kod";"Nazwa";"Grupy towarów i usług";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1000000;"ŁÓDZKIE";"ogółem";"2009";103,5;" --";"";
1000000;"ŁÓDZKIE";"ogółem";"2010";102,8;" --";"";
1000000;"ŁÓDZKIE";"ogółem";"2011";104,4;" --";"";
1000000;"ŁÓDZKIE";"ogółem";"2012";103,8;" --";"";
1000000;"ŁÓDZKIE";"ogółem";"2013";100,8;" --";"";
1000000;"ŁÓDZKIE";"ogółem";"2014";99,5;" --";"";
1000000;"ŁÓDZKIE";"ogółem";"2015";98,8;" --";"";
1000000;"ŁÓDZKIE";"ogółem";"2016";99,4;" --";"";
1000000;"ŁÓDZKIE";"ogółem";"2017";102,1;" --";"";
1000000;"ŁÓDZKIE";"ogółem";"2018";101,5;" --";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2003";101,0;" --";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2004";103,8;" --";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2005";102,2;" --";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2006";101,1;" --";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2007";102,4;" --";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2008";104,3;" --";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2009";103,5;" --";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2010";102,6;" --";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2011";104,3;" --";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2012";103,6;" --";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2013";100,8;" --";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2014";99,9;" --";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2015";99,2;" --";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2016";99,6;" --";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2017";102,1;" --";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2018";102,2;" --";"";
1400000;"MAZOWIECKIE";"ogółem";"2003";101,1;" --";"";
1400000;"MAZOWIECKIE";"ogółem";"2004";103,1;" --";"";
1400000;"MAZOWIECKIE";"ogółem";"2005";102,1;" --";"";
1400000;"MAZOWIECKIE";"ogółem";"2006";101,1;" --";"";
1400000;"MAZOWIECKIE";"ogółem";"2007";102,2;" --";"";
1400000;"MAZOWIECKIE";"ogółem";"2008";103,9;" --";"";
1400000;"MAZOWIECKIE";"ogółem";"2009";103,4;" --";"";
1400000;"MAZOWIECKIE";"ogółem";"2010";102,4;" --";"";
1400000;"MAZOWIECKIE";"ogółem";"2011";103,7;" --";"";
1400000;"MAZOWIECKIE";"ogółem";"2012";103,5;" --";"";
1400000;"MAZOWIECKIE";"ogółem";"2013";100,8;" --";"";
1400000;"MAZOWIECKIE";"ogółem";"2014";100,0;" --";"";
1400000;"MAZOWIECKIE";"ogółem";"2015";99,1;" --";"";
1400000;"MAZOWIECKIE";"ogółem";"2016";99,5;" --";"";
1400000;"MAZOWIECKIE";"ogółem";"2017";101,9;" --";"";
1400000;"MAZOWIECKIE";"ogółem";"2018";101,6;" --";"";
1600000;"OPOLSKIE";"ogółem";"2003";100,7;" --";"";
1600000;"OPOLSKIE";"ogółem";"2004";103,7;" --";"";
1600000;"OPOLSKIE";"ogółem";"2005";102,2;" --";"";
1600000;"OPOLSKIE";"ogółem";"2006";101,2;" --";"";
